Name,Tags,Products,Location,Address,Latitude,Longitude,Notes,Website
Captain Harry's Select Seafood,"price source, seafood, produce, honey","shrimp, string beans, honey","Charleston, SC","478 Woodland Shores Road, Charleston, SC 29412",32.7477,-79.9778,"Published seafood, produce, and honey prices tracked on the Prices page.",https://www.seafoodchs.com
Lowcountry Oyster Company,"price source, oysters, aquaculture","oysters, shellfish","Green Pond, SC","15833 Bennetts Point Road, Green Pond, SC 29446",32.6328,-80.4675,"Published oyster pack and bundle prices tracked on the Prices page.",https://lowcooysters.com
Anson Mills,"price source, grains, rice, mill goods","rice, grits, cornmeal, flour","Charleston, SC","Charleston, SC",32.7765,-79.9311,"Regional grain supplier with Charleston-connected price sources.",https://ansonmills.com
Marsh Hen Mill,"price source, grains, rice, mill goods","rice, grits, cornmeal, flour","Edisto Island, SC","2995 Hwy 174, Edisto Island, SC 29438",32.479167,-80.334722,"Published mill goods prices tracked on the Prices page.",https://marshhenmill.com/
Carolina Plantation Rice,"price source, grains, rice, mill goods","rice, grits, cornmeal, flour","South Carolina","South Carolina",33.8361,-81.1637,"State-level map point for published Carolina rice and mill goods prices.",https://www.carolinaplantationrice.com/store/
Lowcountry Fungi,"price source, mushrooms","mushrooms, mushroom products","Johns Island, SC","Johns Island, SC",32.7179,-80.0832,"City-level map point for published mushroom prices.",https://www.lowcountryfungi.com/shop
Fry Farms,"price source, microgreens","microgreens","Johns Island, SC","Johns Island, SC",32.7179,-80.0832,"City-level map point for published microgreens prices.",https://www.fryfarms.org/shop-products
Whippoorwill Farms SC,"price source, farm boxes","farm boxes, subscription boxes","Ridgeland, SC","Ridgeland, SC",32.4807,-80.9804,"City-level map point for published farm-box prices.",https://whippoorwillfarmssc.com/thebox/
